Longitude,Latitude,PGA (g) - %2,PGA (g) - %10,PGA (g) - %50,PGA (g) - %68,SS (g) - %2,SS (g) - %10,SS (g) - %50,SS (g) - %68,S1 (g) - %2,S1 (g) - %10,S1 (g) - %50,S1 (g) - %68
36.45,37.35,0.601,0.311,0.116,0.08,1.465,0.73,0.265,0.183,0.401,0.2,0.072,0.049
36.45,37.45,0.578,0.296,0.111,0.077,1.399,0.692,0.251,0.173,0.381,0.19,0.069,0.047
36.45,37.55,0.567,0.286,0.105,0.073,1.36,0.666,0.238,0.163,0.364,0.182,0.066,0.045
36.45,37.65,0.536,0.276,0.1,0.068,1.295,0.646,0.226,0.154,0.342,0.175,0.064,0.044
36.45,37.75,0.544,0.281,0.096,0.064,1.32,0.656,0.219,0.147,0.347,0.176,0.062,0.042
36.45,37.85,0.634,0.302,0.093,0.061,1.538,0.705,0.212,0.14,0.403,0.185,0.061,0.041
36.45,37.95,0.649,0.306,0.089,0.058,1.574,0.713,0.204,0.132,0.413,0.184,0.058,0.039
36.45,38.05,0.558,0.273,0.083,0.055,1.343,0.634,0.189,0.123,0.35,0.166,0.056,0.038
36.45,38.15,0.46,0.229,0.076,0.051,1.108,0.535,0.17,0.114,0.292,0.146,0.053,0.036
36.45,38.25,0.386,0.193,0.067,0.046,0.924,0.449,0.153,0.105,0.255,0.131,0.05,0.034
36.45,38.35,0.371,0.175,0.061,0.042,0.882,0.406,0.138,0.096,0.242,0.123,0.047,0.033
36.45,38.45,0.391,0.165,0.057,0.04,0.915,0.382,0.127,0.089,0.246,0.119,0.045,0.032
36.45,38.55,0.36,0.157,0.054,0.039,0.849,0.362,0.121,0.085,0.228,0.114,0.044,0.031
36.45,38.65,0.317,0.149,0.053,0.038,0.754,0.343,0.117,0.083,0.209,0.109,0.043,0.031
36.45,38.75,0.308,0.148,0.053,0.038,0.73,0.34,0.118,0.084,0.209,0.113,0.045,0.032
36.45,38.85,0.32,0.153,0.054,0.039,0.758,0.35,0.12,0.085,0.214,0.115,0.047,0.034
36.45,38.95,0.333,0.161,0.056,0.04,0.793,0.371,0.124,0.087,0.223,0.119,0.048,0.035
36.45,39.05,0.368,0.178,0.058,0.041,0.88,0.411,0.129,0.089,0.244,0.128,0.051,0.037
36.45,39.15,0.492,0.212,0.06,0.042,1.171,0.484,0.134,0.092,0.301,0.143,0.053,0.038
36.45,39.25,0.514,0.215,0.061,0.042,1.216,0.492,0.136,0.093,0.312,0.147,0.054,0.039
36.45,39.35,0.379,0.181,0.061,0.043,0.901,0.418,0.135,0.095,0.257,0.136,0.055,0.039
36.45,39.45,0.343,0.166,0.061,0.044,0.815,0.383,0.135,0.097,0.247,0.134,0.055,0.04
36.45,39.55,0.337,0.163,0.062,0.045,0.799,0.376,0.138,0.101,0.249,0.136,0.057,0.042
36.45,39.65,0.361,0.172,0.065,0.048,0.851,0.396,0.146,0.106,0.261,0.142,0.059,0.043
36.45,39.75,0.368,0.178,0.068,0.051,0.869,0.41,0.153,0.111,0.272,0.149,0.062,0.046
36.45,39.85,0.372,0.183,0.073,0.054,0.88,0.421,0.161,0.118,0.286,0.156,0.065,0.048
36.45,39.95,0.379,0.19,0.078,0.058,0.898,0.44,0.173,0.128,0.303,0.165,0.069,0.051
36.45,40.05,0.395,0.205,0.085,0.063,0.938,0.473,0.192,0.143,0.325,0.179,0.075,0.054
36.45,40.15,0.44,0.231,0.097,0.072,1.056,0.539,0.217,0.159,0.364,0.199,0.081,0.058
36.45,40.25,0.526,0.272,0.112,0.082,1.258,0.637,0.254,0.185,0.428,0.228,0.089,0.063
36.45,40.35,0.572,0.327,0.138,0.099,1.406,0.785,0.315,0.224,0.489,0.265,0.104,0.072
36.45,40.45,0.82,0.472,0.187,0.128,2.061,1.147,0.433,0.297,0.661,0.349,0.125,0.083
36.45,40.55,1.136,0.688,0.268,0.168,2.89,1.702,0.616,0.391,0.869,0.476,0.162,0.099
36.45,40.65,1.136,0.695,0.29,0.185,2.919,1.719,0.67,0.429,0.87,0.486,0.172,0.105
36.45,40.75,1.242,0.736,0.324,0.192,3.14,1.802,0.758,0.44,0.918,0.501,0.193,0.107
36.45,40.85,1.017,0.61,0.248,0.164,2.595,1.507,0.581,0.38,0.759,0.421,0.152,0.095
36.45,40.95,0.693,0.407,0.174,0.122,1.725,0.979,0.408,0.285,0.552,0.302,0.117,0.079
36.45,41.05,0.503,0.295,0.128,0.09,1.235,0.704,0.297,0.209,0.425,0.238,0.096,0.066
36.45,41.15,0.435,0.245,0.105,0.074,1.055,0.582,0.237,0.165,0.363,0.206,0.083,0.058
36.45,41.25,0.408,0.221,0.089,0.062,0.979,0.519,0.206,0.143,0.325,0.184,0.076,0.053
36.45,41.35,0.395,0.208,0.081,0.056,0.943,0.485,0.183,0.125,0.3,0.169,0.07,0.049
36.45,41.45,0.387,0.2,0.075,0.051,0.925,0.466,0.168,0.113,0.284,0.159,0.065,0.045
36.45,41.55,0.385,0.197,0.07,0.046,0.921,0.457,0.158,0.105,0.272,0.153,0.061,0.042
36.45,41.65,0.386,0.195,0.065,0.043,0.923,0.452,0.148,0.095,0.267,0.148,0.058,0.04
36.45,41.75,0.389,0.191,0.06,0.039,0.929,0.444,0.136,0.087,0.269,0.145,0.055,0.038
36.45,41.85,0.362,0.179,0.055,0.036,0.882,0.42,0.123,0.079,0.274,0.143,0.053,0.035
36.45,41.95,0.439,0.198,0.052,0.033,1.086,0.459,0.115,0.073,0.309,0.149,0.05,0.033
36.45,42.05,0.614,0.241,0.049,0.031,1.523,0.566,0.109,0.068,0.389,0.163,0.048,0.03
36.45,42.15,0.803,0.292,0.047,0.029,1.957,0.671,0.105,0.064,0.493,0.179,0.045,0.029
36.45,42.25,0.709,0.26,0.046,0.028,1.721,0.602,0.101,0.06,0.462,0.164,0.042,0.026
36.45,42.35,0.439,0.197,0.043,0.026,1.074,0.452,0.096,0.056,0.297,0.131,0.038,0.023
36.45,42.45,0.344,0.163,0.04,0.023,0.826,0.375,0.089,0.051,0.232,0.109,0.033,0.02
36.45,42.55,0.312,0.147,0.037,0.021,0.738,0.333,0.081,0.045,0.204,0.097,0.028,0.017
36.55,35.05,0.506,0.248,0.081,0.055,1.213,0.574,0.181,0.122,0.332,0.154,0.055,0.039
36.55,35.15,0.515,0.253,0.083,0.056,1.234,0.585,0.185,0.125,0.338,0.157,0.056,0.04
36.55,35.25,0.524,0.259,0.085,0.058,1.257,0.6,0.192,0.129,0.345,0.16,0.057,0.041
36.55,35.35,0.532,0.266,0.088,0.06,1.277,0.615,0.2,0.135,0.351,0.163,0.058,0.042
36.55,35.45,0.539,0.272,0.092,0.062,1.295,0.63,0.208,0.141,0.357,0.167,0.059,0.042
36.55,35.55,0.55,0.281,0.095,0.065,1.323,0.649,0.216,0.147,0.366,0.172,0.061,0.044
36.55,35.65,0.567,0.289,0.099,0.068,1.366,0.67,0.224,0.153,0.377,0.177,0.063,0.045
36.55,35.75,0.573,0.292,0.103,0.07,1.38,0.678,0.23,0.158,0.38,0.181,0.065,0.046
36.55,35.85,0.588,0.301,0.107,0.074,1.427,0.703,0.24,0.165,0.393,0.188,0.067,0.048
36.55,35.95,0.654,0.331,0.113,0.078,1.594,0.779,0.256,0.174,0.429,0.205,0.071,0.05
36.55,36.05,0.696,0.353,0.119,0.081,1.693,0.828,0.272,0.185,0.459,0.219,0.074,0.052
36.55,36.15,0.673,0.35,0.124,0.085,1.647,0.827,0.285,0.195,0.455,0.222,0.077,0.053
36.55,36.25,0.718,0.364,0.128,0.088,1.741,0.856,0.294,0.204,0.49,0.232,0.079,0.055
36.55,36.35,0.723,0.369,0.132,0.091,1.756,0.87,0.302,0.209,0.501,0.238,0.08,0.056
36.55,36.45,0.779,0.4,0.14,0.095,1.892,0.94,0.317,0.217,0.541,0.256,0.083,0.057
36.55,36.55,0.801,0.429,0.15,0.101,1.974,1.02,0.339,0.227,0.561,0.274,0.087,0.058
36.55,36.65,0.885,0.485,0.162,0.106,2.217,1.162,0.37,0.239,0.617,0.306,0.092,0.06
36.55,36.75,1.088,0.587,0.175,0.11,2.694,1.394,0.4,0.249,0.745,0.363,0.097,0.061
36.55,36.85,1.183,0.616,0.175,0.109,2.915,1.461,0.401,0.247,0.834,0.385,0.098,0.061
36.55,36.95,1.183,0.616,0.17,0.107,2.915,1.455,0.387,0.242,0.834,0.384,0.095,0.06
36.55,37.05,1.014,0.535,0.158,0.103,2.499,1.255,0.359,0.231,0.692,0.326,0.09,0.058
36.55,37.15,0.75,0.409,0.144,0.096,1.854,0.966,0.324,0.218,0.521,0.258,0.083,0.056
36.55,37.25,0.62,0.341,0.132,0.091,1.533,0.811,0.301,0.21,0.436,0.222,0.079,0.054
36.55,37.35,0.594,0.321,0.125,0.087,1.452,0.761,0.289,0.203,0.408,0.208,0.076,0.053
36.55,37.45,0.553,0.297,0.116,0.081,1.346,0.698,0.267,0.187,0.381,0.195,0.073,0.05
36.55,37.55,0.548,0.283,0.108,0.076,1.319,0.661,0.245,0.171,0.363,0.185,0.069,0.047
36.55,37.65,0.539,0.27,0.101,0.069,1.294,0.632,0.228,0.158,0.35,0.177,0.065,0.045
36.55,37.75,0.508,0.263,0.096,0.065,1.232,0.618,0.218,0.149,0.333,0.172,0.063,0.043
36.55,37.85,0.546,0.279,0.093,0.062,1.322,0.651,0.213,0.142,0.354,0.176,0.061,0.041
36.55,37.95,0.648,0.31,0.091,0.059,1.578,0.726,0.207,0.135,0.414,0.188,0.06,0.04
36.55,38.05,0.703,0.318,0.086,0.056,1.688,0.74,0.197,0.127,0.441,0.189,0.058,0.039
36.55,38.15,0.508,0.252,0.079,0.053,1.224,0.589,0.179,0.118,0.32,0.157,0.055,0.037
36.55,38.25,0.425,0.21,0.072,0.048,1.016,0.487,0.161,0.109,0.27,0.138,0.052,0.035
36.55,38.35,0.37,0.182,0.064,0.044,0.884,0.423,0.146,0.1,0.243,0.126,0.048,0.034
36.55,38.45,0.357,0.167,0.058,0.041,0.849,0.388,0.132,0.092,0.233,0.12,0.046,0.032
36.55,38.55,0.374,0.161,0.055,0.039,0.879,0.37,0.123,0.087,0.236,0.117,0.045,0.032
36.55,38.65,0.356,0.155,0.054,0.038,0.838,0.355,0.119,0.084,0.225,0.113,0.044,0.031
36.55,38.75,0.32,0.15,0.054,0.039,0.76,0.345,0.119,0.084,0.216,0.115,0.046,0.033
36.55,38.85,0.313,0.151,0.054,0.039,0.741,0.346,0.12,0.085,0.215,0.116,0.047,0.034
36.55,38.95,0.327,0.158,0.056,0.04,0.779,0.362,0.123,0.087,0.222,0.119,0.049,0.036
36.55,39.05,0.351,0.17,0.058,0.041,0.839,0.394,0.128,0.089,0.237,0.126,0.051,0.037
36.55,39.15,0.446,0.2,0.059,0.041,1.069,0.458,0.132,0.091,0.281,0.14,0.053,0.038
36.55,39.25,0.576,0.222,0.061,0.042,1.345,0.508,0.135,0.093,0.344,0.152,0.055,0.039
36.55,39.35,0.401,0.188,0.061,0.043,0.953,0.432,0.136,0.095,0.268,0.14,0.056,0.04
36.55,39.45,0.347,0.168,0.061,0.044,0.825,0.388,0.135,0.097,0.251,0.136,0.056,0.041
36.55,39.55,0.332,0.162,0.062,0.045,0.787,0.373,0.138,0.101,0.251,0.137,0.057,0.042
36.55,39.65,0.346,0.167,0.064,0.047,0.819,0.385,0.145,0.106,0.26,0.143,0.059,0.044
36.55,39.75,0.36,0.175,0.068,0.051,0.852,0.403,0.153,0.111,0.273,0.149,0.062,0.046
36.55,39.85,0.371,0.182,0.074,0.055,0.877,0.42,0.162,0.119,0.288,0.157,0.066,0.048
36.55,39.95,0.379,0.191,0.079,0.058,0.898,0.441,0.175,0.129,0.305,0.167,0.07,0.052
36.55,40.05,0.393,0.205,0.086,0.064,0.933,0.475,0.196,0.146,0.328,0.18,0.075,0.055
36.55,40.15,0.429,0.231,0.099,0.074,1.031,0.542,0.222,0.162,0.364,0.201,0.082,0.059
36.55,40.25,0.544,0.282,0.116,0.084,1.304,0.661,0.263,0.191,0.446,0.234,0.091,0.064
36.55,40.35,0.618,0.349,0.146,0.104,1.527,0.835,0.329,0.232,0.52,0.279,0.106,0.073
36.55,40.45,0.858,0.502,0.201,0.135,2.175,1.22,0.46,0.309,0.691,0.369,0.131,0.085
36.55,40.55,1.214,0.713,0.29,0.176,3.065,1.737,0.667,0.408,0.915,0.491,0.173,0.102
36.55,40.65,1.226,0.73,0.324,0.196,3.108,1.782,0.772,0.449,0.905,0.495,0.191,0.108
36.55,40.75,1.239,0.747,0.335,0.192,3.15,1.827,0.784,0.44,0.894,0.5,0.197,0.107
36.55,40.85,0.886,0.54,0.227,0.153,2.269,1.32,0.535,0.352,0.668,0.376,0.144,0.09
36.55,40.95,0.602,0.357,0.157,0.11,1.506,0.865,0.363,0.252,0.494,0.277,0.11,0.075
36.55,41.05,0.469,0.275,0.119,0.084,1.151,0.654,0.277,0.193,0.401,0.225,0.092,0.063
36.55,41.15,0.42,0.235,0.1,0.07,1.016,0.558,0.225,0.157,0.348,0.198,0.081,0.056
36.55,41.25,0.401,0.215,0.086,0.06,0.96,0.505,0.199,0.136,0.316,0.179,0.074,0.052
36.55,41.35,0.39,0.204,0.079,0.054,0.932,0.476,0.178,0.121,0.295,0.166,0.068,0.047
36.55,41.45,0.384,0.198,0.074,0.049,0.919,0.461,0.165,0.11,0.28,0.157,0.064,0.044
36.55,41.55,0.385,0.196,0.068,0.045,0.921,0.455,0.155,0.102,0.271,0.151,0.06,0.042
36.55,41.65,0.388,0.194,0.064,0.042,0.927,0.451,0.145,0.093,0.268,0.148,0.057,0.039
36.55,41.75,0.39,0.189,0.058,0.038,0.934,0.44,0.131,0.084,0.273,0.146,0.055,0.037
36.55,41.85,0.408,0.188,0.054,0.035,0.998,0.44,0.12,0.077,0.293,0.147,0.052,0.034
36.55,41.95,0.564,0.222,0.051,0.032,1.383,0.519,0.112,0.071,0.36,0.158,0.049,0.032
36.55,42.05,0.757,0.274,0.048,0.03,1.844,0.632,0.107,0.066,0.463,0.174,0.047,0.03
36.55,42.15,0.812,0.286,0.046,0.029,1.966,0.655,0.103,0.062,0.509,0.177,0.044,0.028
36.55,42.25,0.579,0.227,0.044,0.027,1.411,0.527,0.098,0.059,0.379,0.149,0.041,0.026
36.55,42.35,0.391,0.178,0.042,0.025,0.942,0.412,0.093,0.055,0.268,0.123,0.037,0.022
36.55,42.45,0.326,0.155,0.039,0.022,0.782,0.353,0.086,0.05,0.221,0.105,0.031,0.019
36.65,35.05,0.427,0.207,0.071,0.05,1.021,0.475,0.159,0.111,0.292,0.139,0.052,0.037
36.65,35.15,0.437,0.212,0.074,0.051,1.047,0.489,0.163,0.113,0.299,0.141,0.053,0.038
36.65,35.25,0.46,0.223,0.076,0.053,1.105,0.515,0.17,0.118,0.31,0.146,0.054,0.039
36.65,35.35,0.496,0.241,0.08,0.056,1.186,0.558,0.18,0.123,0.324,0.151,0.055,0.04
36.65,35.45,0.506,0.249,0.084,0.057,1.213,0.577,0.188,0.128,0.331,0.155,0.056,0.041
36.65,35.55,0.511,0.253,0.086,0.059,1.227,0.587,0.195,0.133,0.337,0.158,0.058,0.041
36.65,35.65,0.515,0.257,0.088,0.061,1.236,0.596,0.201,0.138,0.342,0.162,0.059,0.042
36.65,35.75,0.527,0.262,0.091,0.063,1.266,0.609,0.208,0.144,0.352,0.166,0.061,0.044
36.65,35.85,0.542,0.271,0.096,0.066,1.304,0.632,0.217,0.15,0.364,0.173,0.063,0.045
36.65,35.95,0.573,0.292,0.103,0.071,1.389,0.68,0.231,0.159,0.385,0.184,0.066,0.047
36.65,36.05,0.637,0.316,0.109,0.075,1.549,0.743,0.245,0.168,0.425,0.2,0.069,0.049
36.65,36.15,0.651,0.329,0.114,0.079,1.587,0.777,0.26,0.177,0.438,0.209,0.072,0.051
36.65,36.25,0.651,0.335,0.119,0.082,1.594,0.793,0.272,0.186,0.447,0.215,0.075,0.052
36.65,36.35,0.674,0.343,0.122,0.085,1.646,0.813,0.282,0.194,0.467,0.222,0.077,0.054
36.65,36.45,0.713,0.363,0.128,0.088,1.737,0.857,0.294,0.204,0.493,0.234,0.079,0.055
36.65,36.55,0.788,0.398,0.136,0.092,1.912,0.934,0.31,0.212,0.543,0.253,0.082,0.056
36.65,36.65,0.815,0.426,0.147,0.099,2.001,1.011,0.333,0.224,0.569,0.273,0.086,0.058
36.65,36.75,0.92,0.48,0.158,0.104,2.268,1.144,0.359,0.235,0.651,0.306,0.09,0.059
36.65,36.85,0.916,0.503,0.164,0.107,2.294,1.201,0.377,0.242,0.637,0.316,0.093,0.06
36.65,36.95,0.944,0.516,0.165,0.107,2.358,1.228,0.379,0.243,0.651,0.321,0.093,0.06
36.65,37.05,1.062,0.558,0.163,0.106,2.605,1.304,0.373,0.24,0.725,0.341,0.093,0.06
36.65,37.15,1.04,0.531,0.157,0.104,2.537,1.241,0.356,0.233,0.717,0.326,0.09,0.058
36.65,37.25,0.748,0.404,0.146,0.1,1.84,0.954,0.33,0.225,0.524,0.256,0.084,0.057
36.65,37.35,0.659,0.358,0.139,0.096,1.617,0.848,0.315,0.219,0.461,0.23,0.081,0.055
36.65,37.45,0.611,0.326,0.127,0.089,1.493,0.776,0.294,0.207,0.424,0.212,0.077,0.053
36.65,37.55,0.555,0.293,0.114,0.08,1.342,0.689,0.262,0.184,0.379,0.193,0.072,0.05
36.65,37.65,0.512,0.266,0.104,0.073,1.238,0.626,0.234,0.164,0.345,0.179,0.067,0.046
36.65,37.75,0.506,0.256,0.096,0.066,1.22,0.604,0.219,0.152,0.337,0.172,0.064,0.044
36.65,37.85,0.52,0.263,0.093,0.063,1.257,0.618,0.212,0.145,0.34,0.172,0.062,0.042
36.65,37.95,0.589,0.294,0.091,0.06,1.437,0.687,0.209,0.137,0.377,0.183,0.061,0.041
36.65,38.05,0.852,0.367,0.089,0.058,2.041,0.843,0.203,0.13,0.557,0.213,0.059,0.039
36.65,38.15,0.573,0.282,0.083,0.054,1.383,0.652,0.188,0.122,0.357,0.169,0.056,0.038
36.65,38.25,0.45,0.224,0.075,0.05,1.082,0.522,0.169,0.113,0.283,0.144,0.053,0.036
36.65,38.35,0.399,0.193,0.067,0.046,0.945,0.447,0.151,0.104,0.251,0.13,0.05,0.035
36.65,38.45,0.34,0.168,0.06,0.042,0.814,0.39,0.136,0.095,0.228,0.12,0.047,0.033
36.65,38.55,0.337,0.159,0.056,0.04,0.804,0.366,0.125,0.088,0.223,0.116,0.045,0.032
36.65,38.65,0.38,0.157,0.054,0.039,0.888,0.362,0.12,0.085,0.238,0.116,0.045,0.032
36.65,38.75,0.349,0.154,0.054,0.039,0.824,0.354,0.119,0.085,0.228,0.119,0.047,0.034
36.65,38.85,0.32,0.153,0.054,0.039,0.76,0.35,0.12,0.085,0.218,0.118,0.049,0.035
36.65,38.95,0.325,0.156,0.056,0.04,0.77,0.358,0.123,0.087,0.222,0.12,0.05,0.037
36.65,39.05,0.342,0.166,0.057,0.041,0.816,0.382,0.127,0.089,0.234,0.126,0.052,0.038
36.65,39.15,0.41,0.19,0.059,0.041,0.975,0.435,0.131,0.091,0.266,0.137,0.054,0.039
36.65,39.25,0.58,0.222,0.06,0.042,1.357,0.508,0.135,0.093,0.353,0.153,0.055,0.04
36.65,39.35,0.44,0.199,0.061,0.043,1.054,0.455,0.136,0.095,0.288,0.146,0.056,0.04
36.65,39.45,0.358,0.173,0.061,0.044,0.853,0.399,0.136,0.097,0.258,0.139,0.056,0.041
36.65,39.55,0.331,0.162,0.062,0.045,0.788,0.374,0.138,0.101,0.253,0.139,0.058,0.042
36.65,39.65,0.327,0.161,0.064,0.047,0.777,0.372,0.144,0.105,0.259,0.143,0.06,0.044
36.65,39.75,0.352,0.172,0.068,0.051,0.834,0.397,0.153,0.112,0.274,0.15,0.063,0.046
36.65,39.85,0.372,0.183,0.075,0.055,0.879,0.423,0.164,0.12,0.291,0.159,0.066,0.049
36.65,39.95,0.383,0.193,0.08,0.059,0.905,0.446,0.178,0.132,0.309,0.169,0.071,0.052
36.65,40.05,0.395,0.208,0.088,0.066,0.94,0.483,0.2,0.148,0.332,0.183,0.076,0.055
36.65,40.15,0.428,0.235,0.102,0.075,1.031,0.553,0.227,0.166,0.37,0.204,0.083,0.059
36.65,40.25,0.508,0.286,0.119,0.086,1.235,0.671,0.275,0.198,0.433,0.236,0.093,0.065
36.65,40.35,0.658,0.37,0.152,0.107,1.623,0.886,0.347,0.241,0.551,0.293,0.109,0.075
36.65,40.45,0.923,0.548,0.213,0.142,2.342,1.325,0.492,0.322,0.738,0.397,0.138,0.087
36.65,40.55,1.267,0.75,0.307,0.182,3.202,1.83,0.714,0.42,0.95,0.513,0.183,0.104
36.65,40.65,1.202,0.72,0.351,0.199,3.046,1.761,0.82,0.455,0.883,0.487,0.205,0.109
36.65,40.75,1.137,0.689,0.301,0.182,2.891,1.691,0.697,0.42,0.816,0.461,0.175,0.103
36.65,40.85,0.769,0.461,0.204,0.138,1.941,1.134,0.464,0.315,0.592,0.331,0.129,0.084
36.65,40.95,0.533,0.319,0.143,0.1,1.324,0.775,0.325,0.227,0.448,0.253,0.104,0.07
36.65,41.05,0.442,0.256,0.111,0.078,1.081,0.61,0.254,0.177,0.378,0.214,0.087,0.06
36.65,41.15,0.408,0.226,0.094,0.066,0.983,0.533,0.215,0.15,0.335,0.19,0.078,0.055
36.65,41.25,0.393,0.21,0.083,0.058,0.94,0.49,0.19,0.13,0.308,0.174,0.072,0.05
36.65,41.35,0.384,0.201,0.077,0.053,0.919,0.467,0.172,0.117,0.29,0.163,0.067,0.046
36.65,41.45,0.382,0.196,0.072,0.048,0.913,0.456,0.161,0.108,0.277,0.155,0.062,0.043
36.65,41.55,0.388,0.196,0.067,0.044,0.928,0.455,0.151,0.099,0.272,0.151,0.059,0.041
36.65,41.65,0.401,0.197,0.062,0.041,0.961,0.456,0.141,0.09,0.275,0.148,0.057,0.039
36.65,41.75,0.399,0.189,0.057,0.037,0.971,0.442,0.127,0.082,0.285,0.147,0.054,0.036
36.65,41.85,0.511,0.208,0.053,0.034,1.255,0.485,0.116,0.075,0.334,0.154,0.051,0.034
36.65,41.95,0.711,0.255,0.049,0.032,1.74,0.592,0.109,0.069,0.435,0.17,0.049,0.031
36.65,42.05,0.813,0.283,0.047,0.03,1.971,0.647,0.104,0.064,0.503,0.178,0.046,0.029
36.65,42.15,0.67,0.244,0.045,0.028,1.632,0.568,0.099,0.061,0.437,0.16,0.043,0.027
36.65,42.25,0.455,0.195,0.043,0.026,1.114,0.449,0.094,0.057,0.308,0.135,0.04,0.025
36.65,42.35,0.347,0.162,0.04,0.024,0.836,0.372,0.089,0.053,0.243,0.115,0.036,0.022
36.65,42.45,0.306,0.145,0.037,0.022,0.726,0.328,0.082,0.047,0.208,0.1,0.03,0.018
36.75,35.05,0.335,0.166,0.062,0.044,0.802,0.384,0.139,0.099,0.251,0.125,0.048,0.034
36.75,35.15,0.348,0.172,0.064,0.045,0.833,0.399,0.144,0.103,0.258,0.127,0.048,0.035
36.75,35.25,0.371,0.182,0.066,0.047,0.886,0.422,0.15,0.106,0.267,0.13,0.05,0.036
36.75,35.35,0.426,0.205,0.071,0.05,1.013,0.47,0.158,0.111,0.283,0.136,0.051,0.037
36.75,35.45,0.453,0.216,0.074,0.052,1.081,0.497,0.165,0.115,0.296,0.141,0.053,0.038
36.75,35.55,0.458,0.219,0.076,0.053,1.095,0.506,0.169,0.117,0.303,0.144,0.054,0.039
36.75,35.65,0.46,0.221,0.077,0.054,1.1,0.51,0.172,0.12,0.308,0.147,0.055,0.04
36.75,35.75,0.466,0.226,0.08,0.056,1.12,0.524,0.179,0.125,0.317,0.151,0.057,0.041
36.75,35.85,0.48,0.236,0.084,0.059,1.157,0.551,0.189,0.131,0.328,0.157,0.058,0.042
36.75,35.95,0.52,0.256,0.09,0.062,1.251,0.598,0.205,0.141,0.349,0.166,0.061,0.044
36.75,36.05,0.556,0.278,0.097,0.067,1.341,0.648,0.219,0.151,0.372,0.177,0.064,0.045
36.75,36.15,0.63,0.305,0.104,0.071,1.527,0.712,0.233,0.16,0.422,0.194,0.067,0.047
36.75,36.25,0.611,0.31,0.109,0.075,1.494,0.73,0.246,0.168,0.417,0.199,0.07,0.049
36.75,36.35,0.597,0.309,0.112,0.078,1.462,0.73,0.254,0.175,0.415,0.202,0.072,0.051
36.75,36.45,0.598,0.314,0.116,0.08,1.468,0.743,0.264,0.182,0.42,0.206,0.074,0.052
36.75,36.55,0.612,0.325,0.121,0.084,1.509,0.774,0.279,0.192,0.433,0.213,0.076,0.053
36.75,36.65,0.624,0.337,0.128,0.089,1.542,0.805,0.295,0.205,0.447,0.222,0.079,0.055
36.75,36.75,0.688,0.371,0.137,0.094,1.698,0.881,0.312,0.214,0.488,0.241,0.082,0.056
36.75,36.85,0.785,0.411,0.145,0.098,1.918,0.971,0.328,0.223,0.55,0.264,0.085,0.057
36.75,36.95,0.792,0.416,0.148,0.101,1.938,0.986,0.336,0.227,0.56,0.268,0.086,0.058
36.75,37.05,0.771,0.422,0.152,0.103,1.909,1.008,0.345,0.232,0.545,0.271,0.088,0.059
36.75,37.15,0.952,0.491,0.156,0.105,2.342,1.165,0.356,0.236,0.655,0.307,0.09,0.059
36.75,37.25,0.945,0.474,0.153,0.104,2.311,1.122,0.348,0.233,0.668,0.301,0.088,0.058
36.75,37.35,0.76,0.411,0.15,0.103,1.87,0.974,0.34,0.231,0.54,0.263,0.086,0.057
36.75,37.45,0.686,0.372,0.142,0.098,1.687,0.883,0.322,0.223,0.482,0.238,0.082,0.056
36.75,37.55,0.607,0.323,0.125,0.088,1.483,0.769,0.29,0.204,0.418,0.21,0.077,0.053
36.75,37.65,0.514,0.275,0.109,0.077,1.248,0.646,0.247,0.173,0.355,0.185,0.07,0.048
36.75,37.75,0.479,0.251,0.098,0.068,1.161,0.593,0.223,0.156,0.327,0.172,0.065,0.045
36.75,37.85,0.493,0.252,0.093,0.064,1.194,0.594,0.213,0.147,0.328,0.17,0.063,0.043
36.75,37.95,0.561,0.285,0.092,0.061,1.364,0.665,0.211,0.14,0.361,0.18,0.062,0.041
36.75,38.05,0.877,0.393,0.091,0.059,2.117,0.895,0.207,0.133,0.565,0.225,0.061,0.04
36.75,38.15,0.616,0.302,0.085,0.056,1.506,0.703,0.194,0.125,0.385,0.18,0.058,0.039
36.75,38.25,0.464,0.233,0.078,0.052,1.118,0.544,0.175,0.116,0.292,0.148,0.054,0.037
36.75,38.35,0.416,0.202,0.069,0.047,0.984,0.464,0.156,0.107,0.257,0.133,0.051,0.035
36.75,38.45,0.338,0.169,0.061,0.043,0.81,0.393,0.139,0.097,0.229,0.122,0.048,0.034
36.75,38.55,0.326,0.158,0.057,0.04,0.78,0.365,0.127,0.09,0.221,0.117,0.046,0.033
36.75,38.65,0.347,0.157,0.055,0.039,0.824,0.362,0.122,0.087,0.23,0.121,0.048,0.034
36.75,38.75,0.378,0.158,0.054,0.039,0.884,0.362,0.12,0.086,0.243,0.122,0.048,0.035
36.75,38.85,0.326,0.154,0.055,0.039,0.776,0.354,0.121,0.086,0.222,0.12,0.05,0.036
36.75,38.95,0.322,0.155,0.055,0.04,0.764,0.356,0.123,0.087,0.223,0.121,0.051,0.037
36.75,39.05,0.337,0.163,0.057,0.041,0.802,0.375,0.126,0.089,0.233,0.126,0.053,0.038
36.75,39.15,0.382,0.181,0.059,0.041,0.908,0.417,0.131,0.091,0.256,0.135,0.054,0.039
36.75,39.25,0.514,0.213,0.06,0.042,1.216,0.487,0.134,0.093,0.32,0.15,0.056,0.04
36.75,39.35,0.492,0.208,0.061,0.043,1.169,0.476,0.137,0.096,0.313,0.151,0.057,0.041
